0.04067753,0.06355422,0.11773119
0.04250973,0.06700808,0.12412846
0.04442477,0.07059252,0.13076761
0.04642637,0.07431451,0.13766157
0.04851844,0.07818132,0.14482377
0.05070506,0.08220046,0.15226818
0.05299047,0.08637978,0.16000929
0.05537914,0.09072742,0.16806220
0.05787572,0.09525185,0.17644259
0.06048508,0.09996188,0.18516679
0.06321230,0.10486670,0.19425181
0.06606270,0.10997586,0.20371535
0.06904182,0.11529932,0.21357584
0.07215548,0.12084745,0.22385250
0.07540973,0.12663106,0.23456536
0.07881093,0.13266143,0.24573530
0.08236571,0.13895029,0.25738406
0.08608097,0.14550991,0.26953437
0.08996398,0.15235308,0.28220988
0.09402228,0.15949311,0.29543531
0.09826380,0.16694393,0.30923642
0.10269679,0.17472006,0.32364010
0.10732990,0.18283664,0.33867442
0.11217215,0.19130950,0.35436869
0.11723298,0.20015514,0.37075346
0.12252224,0.20939080,0.38786069
0.12805025,0.21903448,0.40572370
0.13382778,0.22910497,0.42437729
0.13986608,0.23962188,0.44385782
0.14617692,0.25060572,0.46420325
0.15277261,0.26207789,0.48545322
0.15966598,0.27406074,0.50764913
0.16687048,0.28657762,0.53083425
0.17440014,0.29965293,0.55505374
0.18226963,0.31331213,0.58035480
0.19049429,0.32758185,0.60678674
0.19909015,0.34248989,0.63440105
0.20807395,0.35806531,0.66325155
